Resolution,time,x,y
10,0,0,0
10,10,0,0
10,20,0,0
10,30,0,0
10,40,0,0
10,50,0,0
10,60,0,0
10,70,0,0
10,80,0,0
10,90,0,0
10,100,0,0
10,110,0,0
10,120,0,0
10,130,0,0
10,140,0,0
10,150,0,0
10,160,0,0
10,170,0,0
10,180,0,0
10,190,0,0
10,200,0,0
10,210,0,0
10,220,0,0
10,230,0,0
10,240,0,0
10,250,0,0
10,260,0,0
10,270,0,0
10,280,0,0
10,290,0,0
10,300,0,0
10,310,0,0
10,320,0,0
10,330,0,0
10,340,0,0
10,350,0,0
10,360,0,0
10,370,0,0
10,380,0,0
10,390,0,0
10,400,0,0
10,410,0,0
10,420,0,0
10,430,0,0
10,440,0,0
10,450,0,0
10,460,0,0
10,470,0,0
10,480,0,0
10,490,0,0
10,500,0,0
10,510,0,0
10,520,0,0
10,530,0,0
10,540,0,0
10,550,0,0
10,560,0,0
10,570,0,0
10,580,0,0
10,590,0,0
10,600,0,0
10,610,0,0
10,620,0,0
10,630,0,0
10,640,0,0
10,650,0,0
10,660,0,0
10,670,0,0
10,680,0,0
10,690,0,0
10,700,0,0
10,710,0,0
10,720,0,0
10,730,0,0
10,740,0,0
10,750,0,0
10,760,0,0
10,770,0,0
10,780,0,0
10,790,0,0
10,800,0,0
10,810,0,0
10,820,0,0
10,830,0,0
10,840,0,0
10,850,0,0
10,860,0,0
10,870,0,0
10,880,0,0
10,890,0,0
10,900,0,0
10,910,0,0
10,920,0,0
10,930,0,0
10,940,0,0
10,950,0,0
10,960,0,0
10,970,0,0
10,980,0,0
10,990,0,0
10,1000,0,0
10,1010,0,0
10,1020,4.234619140625,0
10,1030,4.234619140625,0
10,1040,4.234619140625,0
10,1050,4.234619140625,0
10,1060,4.234619140625,0
10,1070,4.234619140625,0
10,1080,4.234619140625,0
10,1090,4.234619140625,0
10,1100,4.234619140625,0
10,1110,4.234619140625,0
10,1120,4.234619140625,0
10,1130,4.234619140625,0
10,1140,4.234619140625,0
10,1150,4.234619140625,0
10,1160,4.234619140625,0
10,1170,4.234619140625,0
10,1180,4.234619140625,0
10,1190,4.234619140625,0
10,1200,4.234619140625,0
10,1210,4.234619140625,0
10,1220,4.234619140625,0
10,1230,4.234619140625,0
10,1240,4.234619140625,0
10,1250,4.234619140625,0
10,1260,4.234619140625,0
10,1270,4.234619140625,0
10,1280,4.234619140625,0
10,1290,4.234619140625,0
10,1300,4.234619140625,0
10,1310,4.234619140625,0
10,1320,4.234619140625,0
10,1330,4.234619140625,0
10,1340,4.234619140625,0
10,1350,4.234619140625,0
10,1360,4.234619140625,0
